"","Age","lam_hat","Est_Var","CI_lower","CI_upper","cat"
"412",41,0.00980392156862745,0.223143544230456,0.00469090727270034,0.0204900401001678,"prime"
"422",42,0.0114942528735632,0.267924367846464,0.00577125314953355,0.0228924023428247,"prime"
"432",43,0.00593471810089021,0.143653632650883,0.00223390197877759,0.0157665283757468,"prime"
"442",44,0.0091324200913242,0.22604642273877,0.00411788970874275,0.0202533585460902,"prime"
"452",45,0.00938967136150235,0.238898759264623,0.00423432440829487,0.0208217226115939,"prime"
"462",46,0.00813008130081301,0.215196894780766,0.00339606957118534,0.0194631530869254,"prime"
"472",47,0.0033500837520938,0.0917879089779475,0.000839796999398095,0.0133640167255739,"prime"
"482",48,0.013840830449827,0.387563470041246,0.00695515606302578,0.0275433916658252,"prime"
"492",49,0.00952380952380952,0.294887895475651,0.00398069445641632,0.0227857095888394,"prime"
"502",50,0.0164271047227926,0.54450280963497,0.00826224176070614,0.0326605995550695,"prime"
"512",51,0.00227272727272727,0.0845800619834711,0.000320858541470749,0.0160983380168772,"prime"
"522",52,0.00519480519480519,0.220296749632557,0.00130389995414591,0.0206963739251387,"prime"
"532",53,0.00574712643678161,0.269482067659525,0.00144308672162304,0.0228880647194965,"prime"
"542",54,0,0,NA,NA,"prime"
"552",55,0,0,NA,NA,"prime"
"562",56,0.00689655172413793,0.775211119767108,0.000978071739324921,0.0486287700292191,"prime"
"572",57,0,0,NA,NA,"prime"
"582",58,0.0125,2.5323203125,0.00178256431919869,0.0876546211079993,"prime"
"592",59,0,0,NA,NA,"prime"
"602",60,0,0,NA,NA,"prime"
"612",61,0,0,NA,NA,"prime"
"621",62,0,0,NA,NA,"prime"
"631",63,0,0,NA,NA,"prime"
"641",64,0,0,NA,NA,"prime"
"651",65,0,0,NA,NA,"prime"
"661",66,0,0,NA,NA,"prime"
"671",67,0,0,NA,NA,"prime"
"681",68,0,0,NA,NA,"prime"
"691",69,0,0,NA,NA,"prime"
"701",70,0,0,NA,NA,"prime"
"103",10,0.0194997880457821,0.0443394085165679,0.0165303005522717,0.0230027114527068,"subprime"
"113",11,0.0153823828181686,0.0360720210564894,0.0127346189429285,0.0185806659959843,"subprime"
"123",12,0.0168254913639071,0.0404249216319956,0.0140142529812835,0.0202006600005721,"subprime"
"133",13,0.0119102153000458,0.0294918855273045,0.00955247008870644,0.0148499003060113,"subprime"
"143",14,0.0167109167577698,0.0421172008517781,0.0138484757137368,0.0201650163279781,"subprime"
"153",15,0.0160590974787217,0.0416459517346088,0.0132216976813224,0.0195054083104169,"subprime"
"163",16,0.0179551122194514,0.0481111058709964,0.0148942922672569,0.0216449394861019,"subprime"
"173",17,0.0196146502343343,0.0547823948913867,0.0163416335182124,0.0235432096421997,"subprime"
"183",18,0.0148820326678766,0.0436677085565625,0.012005074007375,0.0184484407336172,"subprime"
"193",19,0.0179008856227624,0.0543678623630307,0.0146665601186592,0.0218484568628704,"subprime"
"203",20,0.019185591229444,0.0604606266400162,0.015769563470417,0.0233416043198553,"subprime"
"213",21,0.0198782961460446,0.0648595232055186,0.0163400626304605,0.0241826892960151,"subprime"
"223",22,0.0233782645324347,0.0789204316860768,0.0194522468615335,0.0280966644336226,"subprime"
"233",23,0.0215195432586737,0.0758846066540694,0.0176920807296754,0.0261750298982739,"subprime"
"243",24,0.0166060054595086,0.0609672425032711,0.0132272702195576,0.0208477949526954,"subprime"
"253",25,0.0159887138490477,0.0607127262887276,0.0126304466933105,0.0202398994076848,"subprime"
"263",26,0.0162542455118874,0.0636653611794505,0.0128181280080442,0.0206114728293327,"subprime"
"273",27,0.0142821348033074,0.0578929308185752,0.0110371447939797,0.0184811722911444,"subprime"
"283",28,0.0101062451412283,0.0425466276479744,0.00739569501207715,0.0138102221208166,"subprime"
"293",29,0.0138740661686233,0.059909827322641,0.0105921727705502,0.0181728259367636,"subprime"
"303",30,0.016822945394374,0.074863043356314,0.0131170888319317,0.0215757852499358,"subprime"
"313",31,0.0154153582643448,0.0711095696832217,0.0118308525568834,0.0200858956931085,"subprime"
"323",32,0.0159433126660762,0.0760229979383577,0.0122369110369491,0.0207723352732357,"subprime"
"333",33,0.0146833894157235,0.0726354629250911,0.0110884615705373,0.0194438086259546,"subprime"
"343",34,0.0142314990512334,0.0728157333118398,0.0106479784702743,0.0190210344443004,"subprime"
"353",35,0.0166123778501629,0.0873332598108075,0.0126541774916863,0.0218086950351292,"subprime"
"363",36,0.0171313402754451,0.0928259713015742,0.0130504249932745,0.0224883725843666,"subprime"
"373",37,0.0169491525423729,0.0945882927640695,0.0128405220869588,0.0223724370363716,"subprime"
"383",38,0.0304768734313374,0.173876775806842,0.0247207946837583,0.0375732182574216,"subprime"
"393",39,0.036631419939577,0.218720635391944,0.0301317989358306,0.0445330506036929,"subprime"
"403",40,0.0351578106272473,0.222422525020273,0.028634709834202,0.0431668997261843,"subprime"
"413",41,0.0235393022278268,0.158567952706341,0.0181716232619068,0.0304925290045238,"subprime"
"423",42,0.0179274158285964,0.126344582056881,0.0132366878561522,0.0242804122741348,"subprime"
"433",43,0.0168181818181818,0.123353566115702,0.0122186746659082,0.0231490932857568,"subprime"
"443",44,0.0136663524976437,0.104253968536931,0.00952077399122605,0.0196170175620146,"subprime"
"453",45,0.0136585365853659,0.10785470808607,0.00945463017041413,0.0197316677956961,"subprime"
"463",46,0.0116988809766022,0.0965187312502978,0.00779287643603757,0.0175626826920788,"subprime"
"473",47,0.0110005238344683,0.0935330309214363,0.00718936355967988,0.0168320218651028,"subprime"
"483",48,0.00808625336927224,0.0709641243947814,0.00488493119364328,0.0133855505758515,"subprime"
"493",49,0.00502232142857143,0.0457658301984603,0.00261748411386942,0.00963662487891842,"subprime"
"503",50,0.00861079219288174,0.0804267747122672,0.00520250010521229,0.0142519443901035,"subprime"
"513",51,0.00836320191158901,0.0813076241680613,0.00496401040878927,0.0140900482581916,"subprime"
"523",52,0.00940438871473354,0.0958578738755346,0.00568312442418842,0.0155623070157289,"subprime"
"533",53,0.00527704485488127,0.056827065878968,0.00264387364080955,0.0105327281798165,"subprime"
"543",54,0.003813882532418,0.0475627125050487,0.00159010212038979,0.00914765145242209,"subprime"
